Disease,NB,DT,RF,SVC,LinReg
Musculoskeletal,0.5998116487974501,0.605690379600116,0.6,0.5,0.602926687916546
Positive,0.5994332774030064,0.6266993117145498,0.5789473684210527,0.5,0.5556107249255213
Development,0.569472524416204,0.6279911855631506,0.6170212765957447,0.5,0.7345720612303842
Metabolic,0.5667091565753133,0.5948587210537498,0.5555555555555556,0.5,0.8087954110898661
Neoplastic,0.7038136282322329,0.5895674093348513,0.5909090909090909,0.5,0.7175963571312409
Digestive,0.553240665386243,0.6248819948566033,0.5882352941176471,0.5,0.6603486441615938
Negative,0.6702501299319618,0.6247234661485175,0.6164383561643836,0.5,0.7915043815425572
Urinary,0.7852512155591572,0.49432739059967584,0.6666666666666666,0.5,0.5705024311183144
PNS,0.6084394153701085,0.7289291954405525,0.7352941176470589,0.5,0.78356491111296
Endocrine,0.4894957983193277,0.49159663865546216,0.5,0.5,0.4285714285714286
Immune,0.5764911296730297,0.6458299113968845,0.6234567901234568,0.5,0.7087234340884963
Reproductive,0.5428186998733643,0.6193013929928239,0.5625,0.5,0.6800865344027015
Hematologic,0.6415620641562063,0.5791492329149234,0.5,0.5,0.7196652719665271
Cardiovascular,0.6148190045248869,0.6103210514975221,0.6176470588235294,0.5,0.6953781512605042
Infectious,0.5831370859892818,0.5881331569750983,0.582089552238806,0.5,0.7134754204777292
Respiratory,0.5642373923739237,0.6611316113161131,0.6666666666666666,0.5,0.8119926199261993
Integumentary,0.5596743295019158,0.5938697318007662,0.6,0.5,0.601992337164751
Ophthalmological,0.5831212892281594,0.6564885496183206,0.6666666666666666,0.5,0.7548770144189992
Procedural,0.5644160665706514,0.5987191550648103,0.5879599935989758,0.5,0.7333269323091695
Otic,0.5839846232049816,0.6662218833396873,0.6511627906976745,0.5,0.8063095691955776